,_id,author,location,gcc
0,1412193949943402498,1400239891590520835,picton nsw,1gsyd
1,1412194010312019986,1400239891590520835,picton nsw,1gsyd
2,1412198081760694273,1400239891590520835,picton nsw,1gsyd
3,1412185070224351232,113000840,melton vic,2gmel
4,1412184979849678849,1199031211,perth wa,5gper
5,1412185708870049793,51404228,perth wa,5gper
6,1412185839795245063,3005691210,perth wa,5gper
7,1412185895625641984,771176061589557248,perth wa,5gper
8,1412185996200841218,575047568,perth wa,5gper
9,1412186000604815360,1147292655673434112,perth wa,5gper
10,1412186211783872515,1147292655673434112,perth wa,5gper
11,1412189244752232448,51378153,perth wa,5gper
12,1412189267149787142,14156860,perth wa,5gper
13,1412189362184327171,51378153,perth wa,5gper
14,1412189583861719043,51378153,perth wa,5gper
15,1412189758999040006,51378153,perth wa,5gper
16,1412189853219885056,51378153,perth wa,5gper
17,1412189928352452617,14156860,perth wa,5gper
18,1412189949378527235,51378153,perth wa,5gper
19,1412190054122852365,51378153,perth wa,5gper
20,1412190199870754816,51378153,perth wa,5gper
21,1412190384705314816,51378153,perth wa,5gper
22,1412190523398377476,51378153,perth wa,5gper
23,1412190658547183619,30839139,perth wa,5gper
24,1412190664297570304,51378153,perth wa,5gper
25,1412190790558748672,51378153,perth wa,5gper
26,1412190858544250882,1147292655673434112,perth wa,5gper
27,1412190886826369026,51378153,perth wa,5gper
28,1412191017227325441,51378153,perth wa,5gper
29,1412191115483090954,51378153,perth wa,5gper
30,1412191372027695124,51378153,perth wa,5gper
31,1412191613082734595,30839139,perth wa,5gper
32,1412191700827574282,51378153,perth wa,5gper
33,1412191882218639375,51378153,perth wa,5gper
34,1412191954121592840,965958252,perth wa,5gper
35,1412192124540358664,30839139,perth wa,5gper
36,1412192220044697603,51378153,perth wa,5gper
37,1412192312004775956,1002522913235300352,perth wa,5gper
38,1412192510898671617,51378153,perth wa,5gper
39,1412192529970204672,51378153,perth wa,5gper
40,1412192847411879936,14156860,perth wa,5gper
41,1412193136802074629,30839139,perth wa,5gper
42,1412193586418896899,30839139,perth wa,5gper
43,1412193829650763790,157568648,perth wa,5gper
44,1412193885850243081,1147292655673434112,perth wa,5gper
45,1412194064854708225,157568648,perth wa,5gper
46,1412195387360743424,1199031211,perth wa,5gper
47,1412195663106875395,42571871,perth wa,5gper
48,1412195687312203778,556481489,perth wa,5gper
49,1412196051348430851,1199031211,perth wa,5gper
50,1412196065621782530,625312424,perth wa,5gper
51,1412196203148677128,1925513276,perth wa,5gper
52,1412196204847398914,3005691210,perth wa,5gper
53,1412196312640933889,51378153,perth wa,5gper
54,1412196521458638851,51378153,perth wa,5gper
55,1412196616300204040,1199031211,perth wa,5gper
56,1412196658197106690,51378153,perth wa,5gper
57,1412196910308331535,51378153,perth wa,5gper
58,1412196967933906945,596504235,perth wa,5gper
59,1412197320431587328,51378153,perth wa,5gper
60,1412197692801916928,51378153,perth wa,5gper
61,1412197884225720331,51378153,perth wa,5gper
62,1412197981802008583,1943195658,perth wa,5gper
63,1412198196776882179,74676960,perth wa,5gper
64,1412198416688435201,51378153,perth wa,5gper
65,1412198592404545536,51378153,perth wa,5gper
66,1412198715666747393,51378153,perth wa,5gper
67,1412198888732168202,51378153,perth wa,5gper
68,1412199457123299328,2492242742,perth wa,5gper
69,1412199499355738112,1283885249458352128,perth wa,5gper
70,1412199585213079553,611514477,perth wa,5gper
71,1412189925189902336,30839139,perth wa,5gper
72,1412192459442978818,1002522913235300352,perth wa,5gper
73,1412192692763721730,30839139,perth wa,5gper
74,1412197202101882880,303025191,perth wa,5gper
75,1412197522655744010,790523618736287744,serpentine wa,5gper
76,1412185186096189448,378503524,canberra act,8acte
77,1412185446277214210,892273046634979332,canberra act,8acte
78,1412186510359633921,15011950,canberra act,8acte
79,1412189245117108229,4475561478,canberra act,8acte
80,1412192072749092870,3306424254,canberra act,8acte
81,1412194546075635721,833343482,canberra act,8acte
82,1412195093939818500,1348502962050535428,canberra act,8acte
83,1412196248912760835,1351649162,canberra act,8acte
84,1412197623805603840,1027167886148689920,canberra act,8acte
85,1412198117932371969,1348502962050535428,canberra act,8acte
86,1412198454407794689,137315172,canberra act,8acte
87,1412185329184821253,3306424254,canberra act,8acte
